country,capital
Albania,Tirana
Armenia,Yerevan
Austria,Vienna
Azerbaijan,Baku
Belarus,Minsk
Belgium,Brussels
Bulgaria,Sofia
Croatia,Zagreb
Cyprus,Nicosia
Czechia,Prague
Denmark,Copenhagen
Estonia,Tallinn
Finland,Helsinki
France,Paris
Georgia,Tbilisi
Germany,Berlin
Greece,Athens
Hungary,Budapest
Iceland,Reykjavik
Ireland,Dublin
Italy,Rome
Kosovo,Pristina
Latvia,Riga
Liechtenstein,Vaduz
Lithuania,Vilnius
Malta,Valletta
Moldova,Chisinau
Montenegro,Podgorica
Netherlands,Amsterdam
Norway,Oslo
Poland,Warsaw
Portugal,Lisbon
Romania,Bucharest
Russia,Moscow
Serbia,Belgrade
Slovakia,Bratislava
Slovenia,Ljubljana
Spain,Madrid
Sweden,Stockholm
Switzerland,Bern
Turkey,Ankara
Ukraine,Kyiv
